Sample	NC_011902.2	NC_011903.2	NC_011904.2	NC_011905.2	NC_011906.2	NC_011907.2	NC_011908.2	NC_011909.2	NC_011910.2	NC_011911.2	NC_011912.2	NC_011913.2	NC_011914.2	NC_011915.2	NC_000001.11	NC_000002.12	NC_000003.12	NC_000004.12	NC_000005.10	NC_000006.12	NC_000007.14	NC_000008.11	NC_000009.12	NC_000010.11	NC_000011.10	NC_000012.12	NC_000013.11	NC_000014.9	NC_000015.10	NC_000016.10	NC_000017.11	NC_000018.10	NC_000019.10	NC_000020.11	NC_000021.9	NC_000022.11	NT_187388.1	NC_000023.11	NT_167214.1	NW_021160023.1	NT_187605.1	NT_113891.3	NT_167245.2	NT_167246.2	NT_167247.2	NT_167248.2	NT_167249.2	NC_012920.1
104974-001-001_S1_L001	6.162276328785448	4.916682494109516	6.220084094912425	7.212967468328406	6.920577327794693	6.3999797156729565	5.452002470077676	7.206641468925618	6.608517476396983	6.519353864679388	9.915254710274965	5.8688676113319245	7.176960662389972	5.4789939819228435	1.191004299278495	0.5540660672473287	0.5333095430097199	0.3362837332766015	0.529977274306171	1.0555419401712827	0.622652152553365	0.5376681508086661	0.585444210683488	0.5508030188947067	1.0557246888164649	1.0883047927461549	0.48346586894020277	0.5341362996763349	0.943752655306998	1.1933064223507506	1.6762618288788043	0.27881892703014033	3.4006643436512802	0.8172024011333717	1.1163037975067618	0.9719552844880749	111.55601319387287	0.46278684416554244	120.97246471974415	38.00430423104076	111.40930678208325	9.542482338084703	9.422746734251728	6.4272398818528504	8.375629070454044	9.515525238536636	6.984291995080277	12791.76753632276
104974-001-002_S1_L001	9.187587127069085	7.443448331695509	8.820047062481704	10.957332364483836	10.391369172952121	9.316484433929578	8.10206727197374	10.523800951026175	9.68445198126609	9.720422521100247	12.409346712280376	8.645079540063222	10.187546585688816	8.28087697262861	1.1980283126478586	0.5279127767645598	0.49745758766029585	0.31987780873641414	0.4789578265655584	1.0234209917158192	0.5892033194323885	0.5233224337350709	0.5454617886947138	0.5405923618806543	0.9962537536135444	1.0174130572984927	0.47553979584470624	0.49460775256698386	0.9560873934429128	1.177101036311893	1.592673165076214	0.26966433526515177	3.3206042502630413	0.7780724020622117	1.3871871600663772	0.8982541366514395	154.5346074077564	0.431034080944426	166.29541632148533	52.61676708644803	134.28476863377182	9.23313250435483	9.280714644759682	6.309015328045466	8.09953672287805	9.225902872058382	6.889566686478586	12909.341216225133
104974-001-003_S1_L001	42.55303739756814	36.12797641693612	41.954495492250636	50.93456676966284	50.823004151122774	43.4958162426194	36.91415980043654	50.884334191479915	45.93079947697152	48.51281344787828	52.85729194606343	42.669174096762994	48.38033025330644	39.570795654263634	0.6903346852319586	0.42863770461539097	0.32365992584193454	0.1961376267343734	0.2826887258709973	0.5772155779417222	0.3345438366618868	0.4728002021114283	0.39817703326437964	0.32449078325911246	0.697398848376389	0.7494249663835797	0.5220270133079917	0.2949649682017933	0.5174687051176293	1.912830765767977	1.5664430536149783	0.15880239636953006	3.959453841827472	0.6473463772131988	1.3238161865145692	0.6294831424520986	169.5569652141612	0.2843409765966287	180.67832559287734	57.26725012042355	51.45628562100047	3.9457170933724433	3.9413802305049397	2.5604933190581245	3.456573145959214	3.92648304274706	2.8659682752150792	6313.66650772124
104974-001-004_S1_L001	65.30086358892758	52.63732431217295	52.220796884908	68.0877390836223	67.35548439677403	65.05759184210598	55.735036407236926	64.70955258866255	60.35211613902648	61.018081232801926	63.475855730521424	57.83078678842664	63.84353209303344	56.01261571723523	0.6307821439665213	0.3643043378457857	0.2818537206708895	0.17630316658873013	0.2745475400000821	0.4801083546741826	0.34162726615250283	0.3772471605452482	0.33655611954789666	0.32780864835370804	0.6013407308439416	0.6303765092542754	0.3185724062488054	0.30464122254562304	0.41890946429044995	1.694656710611486	1.177901018680834	0.16041690775656436	2.716271515802255	0.5596162106347589	1.0943820774661663	0.590283190217598	132.8684716886884	0.25519947481192357	142.559321837306	45.0167560321711	32.726360797225155	3.636837073115987	3.538515657801692	2.533068261961372	3.1099350674015382	3.623297454223833	2.6905966876321616	4490.909005926613
104974-001-005_S1_L001	65.6699869356105	51.85466082301665	60.17854656185189	71.73577499143526	75.82914002378897	64.25581327199902	55.0196137670912	76.72630440466057	69.19921763314359	73.23521647861376	81.76119518234704	66.15310679617069	73.32436144520386	59.27505465156207	0.3552332712681038	0.31817968421055376	0.16594194126346162	0.08788108142832325	0.11730778948749554	0.2476384161059883	0.14507909048348436	0.43297270430387647	0.26329228167117463	0.17881261646926577	0.4018240666979202	0.5665224412388031	0.5809635325824776	0.12942354204507758	0.21245961715147682	1.8710670396323457	1.5488018762460403	0.061700909578048725	4.836642307247946	0.5569603712502279	1.483776223114614	0.41232746441657236	213.0692729787198	0.1736301409758074	225.8691975886947	72.0472403316983	4.446174920925874	0.8975480221635785	1.0635616785635085	0.5499162614863181	0.8459175449763889	0.9349807826487413	0.7683108811655879	6021.512235985813
104974-001-006_S1_L001	6.465336410167979	5.346551485607335	7.082095479463061	7.954483664870451	7.378831430984504	6.571606809964565	5.59108406555887	7.387501325479301	6.946289069612342	6.77673250684346	12.821033139185108	6.069510719306093	7.795257962321439	5.7366218871525865	1.1942298102124833	0.6167268681574928	0.5846840086923626	0.4307958503468889	0.6252285320357059	1.0861097584377604	0.7110606202143577	0.5880828508041073	0.6215689011968284	0.6114652428399693	1.0458235051913098	1.1073464651337792	0.5521204082656681	0.6131127883862215	0.9208693263494612	1.1185129697229648	1.7024832210561145	0.37397264023265203	3.2393030214637037	0.8676900724973845	0.5485919772780807	1.0217520301425003	7.585371689952239	0.5391488635458577	9.676645316672747	4.490693007073838	113.35068870169823	8.662090607005617	8.27525560413385	5.934911056724583	7.842452840948876	8.588407083680275	6.86205306457909	9533.341877446095
104974-001-007_S1_L001	2.5379372046923225	2.0578180407386597	467.11844522857695	2.943637271997028	2.321766806042407	2.1711084698951217	2.0738985572396733	2.3083472828746485	2.694510713806826	323.03030862802757	3.125420953086311	2.2431887547882097	5.816724638772284	2.117197541634604	0.6494012990268861	0.49061682294327047	0.4759604818989483	0.3236726782265098	0.452548711135723	0.5744831813572895	0.4806647110277667	0.4044906132474094	0.47325474445022964	0.4700575057188722	0.6645339661782392	0.6023173245703425	0.3027356861634582	0.8180023447055121	0.4918296757791882	0.6159897976139841	0.8678434751144323	0.30255964633812527	1.0313723765842078	0.535428696202782	5.018060178827591	0.5247972333838561	603.6377905711374	0.25686401708577133	639.4698360534945	219.51258370194904	20.154701838208027	1.9074577936610466	1.8280663009256555	1.391875052225744	1.6858342061353173	1.8992448573918133	1.5442633878108438	1844.2501508082312
104974-001-008_S1_L001	3.27002867140639	2.6012946334302947	646.9638641049709	3.8596142831196363	3.0446353955145233	2.7547903652792427	2.6508231498242045	3.082572782089007	3.641006027980467	447.0979215374942	3.8371564360672257	2.9109079805291045	7.9410701413559615	2.739432072484977	0.5192926606387762	0.3538085197757315	0.38218919150857	0.23677547023392104	0.31679529300687176	0.46436542556114785	0.3522982784017886	0.3082322754830821	0.41664713547893584	0.34445012261184754	0.493446382705423	0.45712822698427996	0.2260003624088942	0.9358659829702431	0.38098535720116267	0.47318195602912133	0.7064663382729067	0.21785593727187597	0.936932055488438	0.42402685100490706	4.565345377251846	0.41095539509944906	582.1523129447166	0.20061716516537165	582.7680699191965	204.4404070526028	22.048642340047433	1.724456908658544	1.6712571930548397	1.2627740915005383	1.533236600457826	1.710931716059929	1.405922304515789	1792.6550508173555
104974-001-009_S1_L001	5.562258009478071	4.43131121225229	1148.7739975707054	6.635691420504177	5.374932353732574	4.779031781845391	4.432464555298446	5.553428461580401	6.530725159035444	791.8871885219256	6.651563539662123	5.114433252201018	17.8785501135327	4.635695935520524	0.17115483065495385	0.11725576235247148	0.1759294951020493	0.07804943394493165	0.08121001345245552	0.1145779577630143	0.09599090912569476	0.1313761647769403	0.23568288280679692	0.10443658348353127	0.14288297266083386	0.1460868585282038	0.07695610397681699	0.8563804645081237	0.10576490964234977	0.1664902785471444	0.29121969333788567	0.06245836184531145	0.4129258750887847	0.15836734948468	2.4852488105685016	0.13546758980058374	339.0698032350141	0.06857614942745192	333.9757893979777	120.13668811407811	3.1717589121283454	0.30570321046670845	0.3029466662218735	0.22411837202413132	0.27923821141734484	0.3062655115130682	0.25007746531875424	289.28289283005523
104974-001-010_S1_L001	8.890709770034192	7.121615629495991	1207.104142411709	9.593297766933352	8.257601336889177	7.82319135209007	7.423655959082242	7.639942892993307	9.278618973492463	835.9043436745999	9.44553630400474	7.668955276765063	18.267140595368552	7.240705854558492	0.1503521598931011	0.09777582233038883	0.10702845260252415	0.060738334797373304	0.06953314813491392	0.09422102189038581	0.08754963409568962	0.1127091639632109	0.14150407411139665	0.09400361927526998	0.1207687078227393	0.13232485971862634	0.05623435275262177	0.3809842700219932	0.08639040273348808	0.18230915088965324	0.24111005305356178	0.05192667520420863	0.3474822314869133	0.13672959249323585	2.007319950523424	0.13098766482627397	288.42980192806476	0.06119765769436073	268.50629475333983	97.32660794317445	2.325787174001823	0.3139412590190635	0.30499398785314896	0.2310493799868808	0.27644976433409596	0.31370097664986674	0.24782934780201216	377.1104722271672
