sample_name,gene_biotype,sum_reads,per
Sample 01 - mRNA Qiagen FS globin - no filter,human,918750.105206,91.93247809192181
Sample 01 - mRNA Qiagen FS globin - no filter,human_globin,9897.903263,0.9904094374799386
Sample 01 - mRNA Qiagen FS globin - no filter,human_rRNA,43049.781168,4.307670869002847
Sample 01 - mRNA Qiagen FS globin - no filter,ncRNA,53.901952,0.00539356675256189
Sample 01 - mRNA Qiagen FS globin - no filter,protein_coding,27436.025131,2.745318629073286
Sample 01 - mRNA Qiagen FS globin - no filter,rRNA,174.099709,0.01742086078984858
Sample 01 - mRNA Qiagen FS globin - no filter,snRNA,2.920167,2.921993556583702e-4
Sample 01 - mRNA Qiagen FS globin - no filter,snoRNA,10.157103,0.0010163456240535897
Sample 01 - mRNA Qiagen FS globin - no filter,tRNA,0,0
Sample 02 - mRNA Qiagen FS globin - cent/pip,human,894013.829104,89.44443437514121
Sample 02 - mRNA Qiagen FS globin - cent/pip,human_globin,13232.486849,1.323885898690741
Sample 02 - mRNA Qiagen FS globin - cent/pip,human_rRNA,47238.114484000005,4.726086211892403
Sample 02 - mRNA Qiagen FS globin - cent/pip,ncRNA,88.00066,0.008804303694303888
Sample 02 - mRNA Qiagen FS globin - cent/pip,protein_coding,44388.59938,4.440997482363307
Sample 02 - mRNA Qiagen FS globin - cent/pip,rRNA,529.505263,0.05297602476145352
Sample 02 - mRNA Qiagen FS globin - cent/pip,snRNA,16.376599,0.0016384485193160299
Sample 02 - mRNA Qiagen FS globin - cent/pip,snoRNA,11.766883,0.0011772549372623075
Sample 02 - mRNA Qiagen FS globin - cent/pip,tRNA,0,0
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human,637529.944664,63.82054937304291
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human_globin,92438.283371,9.253623421480938
Sample 03 - mRNA Qiagen FS globin - plasmodipur,human_rRNA,28067.451535,2.8097192790042547
Sample 03 - mRNA Qiagen FS globin - plasmodipur,ncRNA,373.2127,0.037360816925313026
Sample 03 - mRNA Qiagen FS globin - plasmodipur,protein_coding,238245.893355,23.849834705099287
Sample 03 - mRNA Qiagen FS globin - plasmodipur,rRNA,2012.547536,0.20146801018825414
Sample 03 - mRNA Qiagen FS globin - plasmodipur,snRNA,45.314645999999996,0.004536266298658562
Sample 03 - mRNA Qiagen FS globin - plasmodipur,snoRNA,89.288918,0.008938353166591832
Sample 03 - mRNA Qiagen FS globin - plasmodipur,tRNA,139.549876,0.01396977479380025
Sample 04 - mRNA Qiagen FS globin - PMACS,human,539469.344237,54.02307042730228
Sample 04 - mRNA Qiagen FS globin - PMACS,human_globin,97544.299752,9.768196527899681
Sample 04 - mRNA Qiagen FS globin - PMACS,human_rRNA,14832.043066999999,1.4852975720475896
Sample 04 - mRNA Qiagen FS globin - PMACS,ncRNA,469.035366,0.04696973216550684
Sample 04 - mRNA Qiagen FS globin - PMACS,protein_coding,344553.987722,34.50402612040916
Sample 04 - mRNA Qiagen FS globin - PMACS,rRNA,1597.8706519999998,0.1600125747438068
Sample 04 - mRNA Qiagen FS globin - PMACS,snRNA,109.11940799999999,0.010927340962640041
Sample 04 - mRNA Qiagen FS globin - PMACS,snoRNA,14.975909,0.0014997044693320703
Sample 04 - mRNA Qiagen FS globin - PMACS,tRNA,0,0
Sample 05 - mRNA Qiagen FS globin - cellulose,human,508686.258585,50.87226639422805
Sample 05 - mRNA Qiagen FS globin - cellulose,human_globin,99146.016061,9.91531116844353
Sample 05 - mRNA Qiagen FS globin - cellulose,human_rRNA,36830.942831,3.683357872613204
Sample 05 - mRNA Qiagen FS globin - cellulose,ncRNA,631.972895,0.06320181236623547
Sample 05 - mRNA Qiagen FS globin - cellulose,protein_coding,352280.202275,35.230541405615234
Sample 05 - mRNA Qiagen FS globin - cellulose,rRNA,2147.043334,0.21471969923274106
Sample 05 - mRNA Qiagen FS globin - cellulose,snRNA,73.418557,0.007342381137586233
Sample 05 - mRNA Qiagen FS globin - cellulose,snoRNA,132.583175,0.01325926636342491
Sample 05 - mRNA Qiagen FS globin - cellulose,tRNA,0,0
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human,953535.072694,95.68471279172776
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human_globin,4977.904313,0.49951948086020836
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,human_rRNA,91.81760200000001,0.009213652573652682
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,ncRNA,60.44252,0.006065246399661512
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,protein_coding,37689.363629,3.7820275702655315
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,rRNA,168.370244,0.01689550694165515
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,snRNA,3.401682,3.413497568151257e-4
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,snoRNA,12.201633000000001,0.0012244014747108674
Sample 06 - mRNA Qiagen FS globin/rRNA - no filter,tRNA,0,0
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human,740932.466387,74.19193892426486
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human_globin,2466.78271,0.24700684672678508
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,human_rRNA,8149.925117,0.8160780826170112
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,ncRNA,9185.002086,0.9197236518824972
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,protein_coding,21649.535883,2.1678373088476097
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,rRNA,210870.121171,21.11510004030464
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,snRNA,4664.649646,0.4670862964430597
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,snoRNA,751.287773,0.07522884891353836
Sample 07 - tRNA Qiagen FS globin/rRNA - no filter,tRNA,0,0
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human,692791.828206,69.35626274768649
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human_globin,2505.7057649999997,0.25084936099167987
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,human_rRNA,7537.674199,0.7546060605334571
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,ncRNA,10283.639517,1.0295081080711956
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,protein_coding,25054.124004,2.5081999189197335
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,rRNA,251849.875256,25.213008309378214
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,snRNA,7963.3197199999995,0.7972179698977717
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,snoRNA,902.4711570000001,0.09034752452144837
Sample 08 - tRNA Qiagen FS globin/rRNA - cent/pip,tRNA,0,0
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,human,443673.355973,44.392038841785364
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,human_globin,10512.535634,1.0518388898218634
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,human_rRNA,8624.516442,0.8629318477897953
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,ncRNA,13689.356246,1.3696978328995058
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,protein_coding,51706.508164,5.173529777905044
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,rRNA,451073.911639,45.13250646318533
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,snRNA,18836.328848,1.884681670873075
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,snoRNA,1327.0078939999999,0.13277467574002505
Sample 09 - tRNA Qiagen FS globin/rRNA - plasmodipur,tRNA,0,0
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,human,327273.702913,32.73868872700509
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,human_globin,11096.026476,1.1099863926462188
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,human_rRNA,10359.794912,1.0363377744093922
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,ncRNA,9981.451966999999,0.9984903952947124
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,protein_coding,84937.339783,8.496671451768654
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,rRNA,538660.853895,53.884714439702904
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,snRNA,16584.359909,1.659009544502594
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,snoRNA,760.749649,0.07610127467042528
Sample 10 - tRNA Qiagen FS globin/rRNA - PMACS,tRNA,0,0
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,human,451998.130173,45.20923459620142
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,human_globin,10315.086739,1.0317236845319009
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,human_rRNA,10437.295464,1.04394710438568
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,ncRNA,8648.356312,0.865015900023966
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,protein_coding,64167.693666,6.418106896444571
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,rRNA,442837.971217,44.29302776361608
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,snRNA,10452.537109,1.045471586586908
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,snoRNA,934.529886,0.09347246820946943
Sample 11 - tRNA Qiagen FS globin/rRNA - cellulose,tRNA,0,0
Sample 12 - mRNA Illumina - no filter,human,238094.255296,23.814100552718116
Sample 12 - mRNA Illumina - no filter,human_globin,728618.1692860001,72.87612347615386
Sample 12 - mRNA Illumina - no filter,human_rRNA,22978.482755,2.298299462102404
Sample 12 - mRNA Illumina - no filter,ncRNA,20.311409,0.002031539718134098
Sample 12 - mRNA Illumina - no filter,protein_coding,9638.493606,0.9640386141390065
Sample 12 - mRNA Illumina - no filter,rRNA,414.98659000000004,0.04150680733562258
Sample 12 - mRNA Illumina - no filter,snRNA,23.591323,0.002359595519829789
Sample 12 - mRNA Illumina - no filter,snoRNA,15.3965,0.0015399523130203143
Sample 12 - mRNA Illumina - no filter,tRNA,0,0
Sample 13 - mRNA Illumina - cent/pip,human,188221.270206,18.82557622607198
Sample 13 - mRNA Illumina - cent/pip,human_globin,782411.199306,78.25545782656167
Sample 13 - mRNA Illumina - cent/pip,human_rRNA,16949.641025,1.6952747092369942
Sample 13 - mRNA Illumina - cent/pip,ncRNA,22.125933,0.002212998763681617
Sample 13 - mRNA Illumina - cent/pip,protein_coding,11783.343383,1.1785502712412155
Sample 13 - mRNA Illumina - cent/pip,rRNA,401.006085,0.04010795704451448
Sample 13 - mRNA Illumina - cent/pip,snRNA,17.750484,0.00177537368240021
Sample 13 - mRNA Illumina - cent/pip,snoRNA,9.004627,9.006277122150783e-4
Sample 13 - mRNA Illumina - cent/pip,tRNA,1.439833,1.4400968532752917e-4
Sample 14 - mRNA Illumina - plasmodipur,human,42802.10263,4.2804224879606725
Sample 14 - mRNA Illumina - plasmodipur,human_globin,923424.851571,92.34706375933602
Sample 14 - mRNA Illumina - plasmodipur,human_rRNA,12328.475231,1.232908651175732
Sample 14 - mRNA Illumina - plasmodipur,ncRNA,36.34698,0.0036348782186324292
Sample 14 - mRNA Illumina - plasmodipur,protein_coding,20396.731356,2.039774268377221
Sample 14 - mRNA Illumina - plasmodipur,rRNA,916.953456,0.09169989211522193
Sample 14 - mRNA Illumina - plasmodipur,snRNA,34.755567,0.003475729027955556
Sample 14 - mRNA Illumina - plasmodipur,snoRNA,10.202832,0.0010203337885339014
Sample 14 - mRNA Illumina - plasmodipur,tRNA,0,0
Sample 15 - mRNA Illumina - PMACS,human,51439.95178,5.1442912925379165
Sample 15 - mRNA Illumina - PMACS,human_globin,893670.9348299999,89.37223790764969
Sample 15 - mRNA Illumina - PMACS,human_rRNA,13713.775275,1.3714564709688044
Sample 15 - mRNA Illumina - PMACS,ncRNA,53.758529,0.005376162361448214
Sample 15 - mRNA Illumina - PMACS,protein_coding,39487.460205,3.9489733304143266
Sample 15 - mRNA Illumina - PMACS,rRNA,1521.723446,0.1521811044144916
Sample 15 - mRNA Illumina - PMACS,snRNA,41.652848,0.004165524574988342
Sample 15 - mRNA Illumina - PMACS,snoRNA,13.181312,0.0013182070783392468
Sample 15 - mRNA Illumina - PMACS,tRNA,0,0
Sample 16 - mRNA Illumina - cellulose,human,24288.005251,2.4289140814701056
Sample 16 - mRNA Illumina - cellulose,human_globin,939184.030323,93.9227941022229
Sample 16 - mRNA Illumina - cellulose,human_rRNA,15048.623217999999,1.5049326802757192
Sample 16 - mRNA Illumina - cellulose,ncRNA,31.214921,0.0031216380425376955
Sample 16 - mRNA Illumina - cellulose,protein_coding,20178.278847999998,2.017922226516303
Sample 16 - mRNA Illumina - cellulose,rRNA,1180.532496,0.11805876907282835
Sample 16 - mRNA Illumina - cellulose,snRNA,29.072717,0.002907407626856797
Sample 16 - mRNA Illumina - cellulose,snoRNA,10.044854,0.0010045323638056601
Sample 16 - mRNA Illumina - cellulose,tRNA,3.445463,3.445624089503881e-4
